rowid,Host Name,Letter,Default Parameter Flag,Reference,Discovery Method,Number of Planets in System,Orbital Period (days),Orbital Period Upper Unc. (days),Orbital Period Lower Unc. (days),Orbital Period Limit Flag,Orbit Semi-Major Axis (AU),Orbit Semi-Major Axis Upper Unc (AU),Orbit Semi-Major Axis Lower Unc (AU),Orbit Semi-Major Axis Limit Flag,Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Eccentricity Limit Flag,Inclination (deg),Inclination Upper Unc. (deg),Inclination Lower Unc. (deg),Inclination Limit Flag,Planet Mass (Jupiter mass),Planet Mass or M*sin(i)Upper Unc. (Jupiter mass),Planet Mass or M*sin(i)Lower Unc. (Jupiter mass),Planet Mass or M*sin(i) Limit Flag,Planet Radius (Jupiter radii),Planet Radius Upper Unc. (Jupiter radii),Planet Radius Lower Unc. (Jupiter radii),Planet Radius Limit Flag,Planet Density (g/cm**3),Planet Density Upper Unc. (g/cm**3),Planet Density Lower Unc. (g/cm**3),Planet Density Limit Flag,ra_str,RA [sexagesimal],dec_str,Dec [sexagesimal],Effective Temperature (K),Effective Temperature Upper Unc. (K),Effective Temperature Lower Unc. (K),Effective Temperature Limit Flag,Effective Temperature Blend Flag,Stellar Mass (Solar mass),Stellar Mass Upper Unc. (Solar mass),Stellar Mass Lower Unc. (Solar mass),Stellar Mass Limit Flag,Stellar Mass Blend Flag,Stellar Radius (Solar radii),Stellar Radius Upper Unc. (Solar radii),Stellar Radius Lower Unc. (Solar radii),Stellar Radius Limit Flag,Stellar Radius Blend Flag,Date of Last Update
7386,TRAPPIST-1,b,1,<a href=http://www.nature.com/nature/journal/v542/n7642/full/nature21360.html target=ref>Gillon et al. 2017</a>,Transit,7,1.51087081,0.0000006,-0.0000006,0,0.01111,0.00034,-0.00034,0,0.081,,,1,89.65,0.22,-0.27,0,0.00267,0.00227,-0.00227,0,0.097,0.003,-0.003,0,3.6,3.1,-3.1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,2559,50,-50,0,0,0.0802,0.0073,-0.0073,0,0,0.12,0,0,0,0,2/22/17
7389,TRAPPIST-1,c,1,<a href=http://www.nature.com/nature/journal/v542/n7642/full/nature21360.html target=ref>Gillon et al. 2017</a>,Transit,7,2.4218233,0.0000017,-0.0000017,0,0.01521,0.00047,-0.00047,0,0.083,,,1,89.67,0.17,-0.17,0,0.00434,0.00192,-0.00192,0,0.094,0.003,-0.003,0,6.45,2.92,-2.92,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,2559,50,-50,0,0,0.0802,0.0073,-0.0073,0,0,0.12,0,0,0,0,2/22/17
7392,TRAPPIST-1,d,1,<a href=http://www.nature.com/nature/journal/v542/n7642/full/nature21360.html target=ref>Gillon et al. 2017</a>,Transit,7,4.04961,0.000063,-0.000063,0,0.02144,0.00066,-0.00063,0,0.07,,,1,89.75,0.16,-0.16,0,0.00129,0.00085,-0.00085,0,0.069,0.003,-0.003,0,4.9,3.3,-3.3,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,2559,50,-50,0,0,0.0802,0.0073,-0.0073,0,0,0.12,0,0,0,0,2/22/17
7393,TRAPPIST-1,e,1,<a href=http://www.nature.com/nature/journal/v542/n7642/full/nature21360.html target=ref>Gillon et al. 2017</a>,Transit,7,6.099615,0.000011,-0.000011,0,0.02817,0.00083,-0.00087,0,0.085,,,1,89.86,0.1,-0.12,0,0.00195,0.00182,-0.00182,0,0.082,0.003,-0.003,0,4.4,4.2,-4.2,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,2559,50,-50,0,0,0.0802,0.0073,-0.0073,0,0,0.12,0,0,0,0,2/22/17
7394,TRAPPIST-1,f,1,<a href=http://www.nature.com/nature/journal/v542/n7642/full/nature21360.html target=ref>Gillon et al. 2017</a>,Transit,7,9.20669,0.000015,-0.000015,0,0.0371,0.0011,-0.0011,0,0.063,,,1,89.68,0.034,-0.034,0,0.00214,0.00057,-0.00057,0,0.093,0.003,-0.003,0,3.3,0.94,-0.94,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,2559,50,-50,0,0,0.0802,0.0073,-0.0073,0,0,0.12,0,0,0,0,2/22/17
7395,TRAPPIST-1,g,1,<a href=http://www.nature.com/nature/journal/v542/n7642/full/nature21360.html target=ref>Gillon et al. 2017</a>,Transit,7,12.35294,0.00012,-0.00012,0,0.0451,0.0014,-0.0014,0,0.061,,,1,89.71,0.025,-0.025,0,0.00422,0.00277,-0.00277,0,0.101,0.004,-0.004,0,5.2,3.5,-3.5,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,2559,50,-50,0,0,0.0802,0.0073,-0.0073,0,0,0.12,0,0,0,0,2/22/17
7396,TRAPPIST-1,h,1,<a href=http://www.nature.com/nature/journal/v542/n7642/full/nature21360.html target=ref>Gillon et al. 2017</a>,Transit,7,20,15,-6,0,0.063,0.027,-0.013,0,,,,,89.8,0.1,-0.05,0,,,,,0.067,0.003,-0.003,0,,,,,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,2559,50,-50,0,0,0.0802,0.0073,-0.0073,0,0,0.12,0,0,0,0,2/22/17
